Oasis,Radiohead
Radiohead,Nirvana
Radiohead,Kings of Leon
The Strokes,Arctic Monkeys
Led Zeppelin,Queen
Radiohead,Queen
Muse,The Killers
Coldplay,The Beatles
The Killers,Coldplay
Muse,Snow Patrol
Queens of the Stone Age,Queen
Lady Gaga,The Beatles
Radiohead,The Smiths
Muse,Paramore
Nirvana,The Beatles
The Strokes,The Beatles
Britney Spears,Lady Gaga
The Cure,Radiohead
The Killers,Placebo
Lily Allen,Lady Gaga
Muse,Foo Fighters
Oasis,Coldplay
Red Hot Chili Peppers,The Beatles
The Rolling Stones,The Beatles
Led Zeppelin,Pink Floyd
????,?????
Red Hot Chili Peppers,Radiohead
Muse,System of a Down
The Strokes,The Killers
Muse,Kings of Leon
Muse,Red Hot Chili Peppers
Radiohead,David Bowie
The Killers,Radiohead
Red Hot Chili Peppers,The Killers
Ke$ha,Lady Gaga
Muse,Metallica
Muse,Coldplay
30 Seconds to Mars,Muse
Arctic Monkeys,Franz Ferdinand
Led Zeppelin,The Beatles
Arctic Monkeys,The Beatles
Pink Floyd,The Beatles
???,?????
Nirvana,Coldplay
Oasis,Arctic Monkeys
Muse,The Beatles
MGMT,The Beatles
Arctic Monkeys,The Killers
Oasis,Muse
Death Cab for Cutie,Radiohead
David Bowie,The Beatles
Green Day,Muse
Muse,Placebo
Queen,The Beatles
The Killers,Kings of Leon
Muse,Arctic Monkeys
The Strokes,Radiohead
Lady Gaga,Muse
Arctic Monkeys,Radiohead
Radiohead,Placebo
Muse,Pink Floyd
Franz Ferdinand,The Beatles
Muse,The Strokes
Muse,Linkin Park
Lady Gaga,Rihanna
Red Hot Chili Peppers,Foo Fighters
Placebo,Coldplay
Oasis,The Killers
Red Hot Chili Peppers,Coldplay
Metallica,System of a Down
Pearl Jam,Radiohead
Queen,Nirvana
Muse,Franz Ferdinand
Foo Fighters,Nirvana
Pink Floyd,Queen
The Killers,The Beatles
Lady Gaga,Coldplay
Kings of Leon,Coldplay
Arctic Monkeys,Nirvana
Muse,MGMT
The Cure,Muse
Oasis,Nirvana
The Kooks,Muse
Muse,Radiohead
Metallica,Iron Maiden
Arctic Monkeys,MGMT
Death Cab for Cutie,The Beatles
Oasis,The Beatles
Death Cab for Cutie,Muse
Red Hot Chili Peppers,Nirvana
The Cure,The Smiths
Placebo,Nirvana
Radiohead,Coldplay
Muse,Queen
Arctic Monkeys,Coldplay
Radiohead,Pink Floyd
Arctic Monkeys,Kings of Leon
???,????
The Kooks,Arctic Monkeys
Radiohead,The Beatles
Lady Gaga,Paramore
Muse,Nirvana
The Smiths,The Beatles
Franz Ferdinand,Radiohead
Pearl Jam,Nirvana
